# armor-combos.txt
#
# Vagrant Story armor combination tables
#
# Lines beginning with "--" identify item types
#
# It is possible for a different combination to result from swapped items.
# For example usually A + B = C but sometimes B + A = D
#
# Taken from Combination Guide
# Author:  Jay Tilton
# Email:  tiltonj@erols.com
# Copyright Jay Tilton, 2000

--Helm + Helm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Bandana            |Bandana            | Bandana            |
Armet              |Plate Leggings     | Missaglia          |
Armet              |Fluted Leggings    | Missaglia          |
Armet              |Hoplite Leggings   | Missaglia          |
Armet              |Jazeraint Leggings | Missaglia          |
Armet              |Dread Leggings     | Missaglia          |
Close Helm         |Sandals            | Barbut             |
Close Helm         |Boots              | Barbut             |
Close Helm         |Long Boots         | Barbut             |
Close Helm         |Cuisse             | Barbut             |
Close Helm         |Light Greave       | Sallet             |
Close Helm         |Ring Leggings      | Cabasset           | Spangenhelm
Close Helm         |Chain Leggings     | Cabasset           |
Close Helm         |Fusskampf          | Sallet             |
Close Helm         |Poleyn             | Barbut             |
Close Helm         |Jambeau            | Basinet            |
Close Helm         |Missaglia          | Armet              |
Close Helm         |Plate Leggings     | Freiturnier        |
Close Helm         |Fluted Leggings    | Plate Leggings     |
Close Helm         |Hoplite Leggings   | Plate Leggings     |
Close Helm         |Jazeraint Leggings | Plate Leggings     |
Close Helm         |Dread Leggings     | Plate Leggings     |
Burgonet           |Sandals            | Basinet            |
Burgonet           |Boots              | Basinet            |
Burgonet           |Long Boots         | Basinet            |
Burgonet           |Cuisse             | Basinet            |
Burgonet           |Light Greave       | Barbut             |
Burgonet           |Ring Leggings      | Sallet             |
Burgonet           |Chain Leggings     | Cabasset           |
Burgonet           |Fusskampf          | Sallet             |
Burgonet           |Poleyn             | Barbut             |
Burgonet           |Jambeau            | Basinet            |
Burgonet           |Missaglia          | Armet              |
Burgonet           |Plate Leggings     | Close Helm         |
Burgonet           |Fluted Leggings    | Fluted Glove       |
Burgonet           |Hoplite Leggings   | Fluted Leggings    |
Burgonet           |Jazeraint Leggings | Fluted Leggings    |
Burgonet           |Dread Leggings     | Fluted Leggings    |
Hoplite Helm       |Sandals            | Armet              |
Hoplite Helm       |Boots              | Armet              |
Hoplite Helm       |Long Boots         | Armet              |
Hoplite Helm       |Cuisse             | Armet              |
Hoplite Helm       |Light Greave       | Basinet            |
Hoplite Helm       |Ring Leggings      | Barbut             |
Hoplite Helm       |Chain Leggings     | Sallet             |
Hoplite Helm       |Fusskampf          | Sallet             |
Hoplite Helm       |Poleyn             | Barbut             |
Hoplite Helm       |Jambeau            | Basinet            |
Hoplite Helm       |Missaglia          | Armet              |
Hoplite Helm       |Plate Leggings     | Close Helm         |
Hoplite Helm       |Fluted Leggings    | Burgonet           |
Hoplite Helm       |Hoplite Leggings   | Hoplite Glove      |
Hoplite Helm       |Jazeraint Leggings | Hoplite Leggings   |
Hoplite Helm       |Dread Leggings     | Hoplite Leggings   |
Jazeraint Helm     |Sandals            | Close Helm         |
Jazeraint Helm     |Boots              | Close Helm         |
Jazeraint Helm     |Long Boots         | Close Helm         |
Jazeraint Helm     |Cuisse             | Close Helm         |
Jazeraint Helm     |Light Greave       | Armet              |
Jazeraint Helm     |Ring Leggings      | Basinet            |
Jazeraint Helm     |Chain Leggings     | Barbut             |
Jazeraint Helm     |Fusskampf          | Sallet             |
Jazeraint Helm     |Poleyn             | Barbut             |
Jazeraint Helm     |Jambeau            | Basinet            |
Jazeraint Helm     |Missaglia          | Armet              |
Jazeraint Helm     |Plate Leggings     | Close Helm         |
Jazeraint Helm     |Fluted Leggings    | Burgonet           |
Jazeraint Helm     |Hoplite Leggings   | Hoplite Helm       |
Jazeraint Helm     |Jazeraint Leggings | Jazeraint Glove    |
Jazeraint Helm     |Dread Leggings     | Jazeraint Leggings |
Dread Helm         |Sandals            | Burgonet           |
Dread Helm         |Boots              | Burgonet           |
Dread Helm         |Long Boots         | Burgonet           |
Dread Helm         |Cuisse             | Burgonet           |
Dread Helm         |Light Greave       | Close Helm         |
Dread Helm         |Ring Leggings      | Armet              |
Dread Helm         |Chain Leggings     | Basinet            |
Dread Helm         |Fusskampf          | Barbut             |
Dread Helm         |Poleyn             | Barbut             |
Dread Helm         |Jambeau            | Basinet            |
Dread Helm         |Missaglia          | Armet              |
Dread Helm         |Plate Leggings     | Close Helm         |
Dread Helm         |Fluted Leggings    | Burgonet           |
Dread Helm         |Hoplite Leggings   | Hoplite Helm       |
Dread Helm         |Jazeraint Leggings | Jazeraint Helm     |
Dread Helm         |Dread Leggings     | Dread Glove        |

--Helm + Arm
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Bandana            |Bandage            | Bandage            |
Bandana            |Leather Glove      | Leather Glove      |
Bandana            |Reinforced Glove   | Reinforced Glove   |
Bandana            |Knuckles           | Knuckles           |
Bandana            |Ring Sleeve        | Knuckles           |
Bandana            |Chain Sleeve       | Knuckles           |
Bandana            |Gauntlet           | Knuckles           |
Bandana            |Vambrace           | Chain Mail         | Ring Sleeve
Bandana            |Plate Glove        | Chain Sleeve       |
Bandana            |Rondanche          | Gauntlet           |
Bandana            |Tilt Glove         | Vambrace           |
Bandana            |Freiturnier        | Plate Glove        |
Bandana            |Fluted Glove       | Rondanche          |
Bandana            |Hoplite Glove      | Tilt Glove         |
Bandana            |Jazeraint Glove    | Freiturnier        |
Bandana            |Dread Glove        | Fluted Glove       |
Bear Mask          |Bandage            | Bear Mask          |
Bear Mask          |Leather Glove      | Leather Glove      |
Bear Mask          |Reinforced Glove   | Reinforced Glove   |
Bear Mask          |Knuckles           | Knuckles           |
Bear Mask          |Ring Sleeve        | Knuckles           |
Bear Mask          |Chain Sleeve       | Knuckles           |
Bear Mask          |Gauntlet           | Knuckles           |
Bear Mask          |Vambrace           | Chain Mail         | Ring Sleeve
Bear Mask          |Plate Glove        | Chain Sleeve       |
Bear Mask          |Rondanche          | Gauntlet           |
Bear Mask          |Tilt Glove         | Vambrace           |
Bear Mask          |Freiturnier        | Plate Glove        |
Bear Mask          |Fluted Glove       | Rondanche          |
Bear Mask          |Hoplite Glove      | Tilt Glove         |
Bear Mask          |Jazeraint Glove    | Freiturnier        |
Bear Mask          |Dread Glove        | Fluted Glove       |
Wizard Hat         |Bandage            | Wizard Hat         |
Wizard Hat         |Leather Glove      | Wizard Hat         |
Wizard Hat         |Reinforced Glove   | Reinforced Glove   |
Wizard Hat         |Knuckles           | Knuckles           |
Wizard Hat         |Ring Sleeve        | Knuckles           |
Wizard Hat         |Chain Sleeve       | Knuckles           |
Wizard Hat         |Gauntlet           | Knuckles           |
Wizard Hat         |Vambrace           | Chain Mail         | Ring Sleeve
Wizard Hat         |Plate Glove        | Chain Sleeve       |
Wizard Hat         |Rondanche          | Gauntlet           |
Wizard Hat         |Tilt Glove         | Vambrace           |
Wizard Hat         |Freiturnier        | Plate Glove        |
Wizard Hat         |Fluted Glove       | Rondanche          |
Wizard Hat         |Hoplite Glove      | Tilt Glove         |
Wizard Hat         |Jazeraint Glove    | Freiturnier        |
Wizard Hat         |Dread Glove        | Fluted Glove       |
Bone Helm          |Bandage            | Bone Helm          |
Bone Helm          |Leather Glove      | Bone Helm          |
Bone Helm          |Reinforced Glove   | Bone Helm          |
Bone Helm          |Knuckles           | Bone Helm          |
Bone Helm          |Ring Sleeve        | Knuckles           |
Bone Helm          |Chain Sleeve       | Knuckles           |
Bone Helm          |Gauntlet           | Knuckles           |
Bone Helm          |Vambrace           | Chain Mail         | Ring Sleeve
Bone Helm          |Plate Glove        | Chain Sleeve       |
Bone Helm          |Rondanche          | Gauntlet           |
Bone Helm          |Tilt Glove         | Vambrace           |
Bone Helm          |Freiturnier        | Plate Glove        |
Bone Helm          |Fluted Glove       | Rondanche          |
Bone Helm          |Hoplite Glove      | Tilt Glove         |
Bone Helm          |Jazeraint Glove    | Freiturnier        |
Bone Helm          |Dread Glove        | Fluted Glove       |
Chain Coif         |Bandage            | Bone Helm          |
Chain Coif         |Leather Glove      | Bone Helm          |
Chain Coif         |Reinforced Glove   | Bone Helm          |
Chain Coif         |Knuckles           | Bone Helm          |
Chain Coif         |Ring Sleeve        | Banded Mail        |
Chain Coif         |Chain Sleeve       | Ring Sleeve        |
Chain Coif         |Gauntlet           | Ring Sleeve        |
Chain Coif         |Vambrace           | Ring Sleeve        |
Chain Coif         |Plate Glove        | Ring Sleeve        |
Chain Coif         |Rondanche          | Chain Sleeve       |
Chain Coif         |Tilt Glove         | Gauntlet           |
Chain Coif         |Freiturnier        | Vambrace           |
Chain Coif         |Fluted Glove       | Plate Glove        |
Chain Coif         |Hoplite Glove      | Rondanche          |
Chain Coif         |Jazeraint Glove    | Tilt Glove         |
Chain Coif         |Dread Glove        | Freiturnier        |
Spangenhelm        |Bandage            | Bone Helm          |
Spangenhelm        |Leather Glove      | Bone Helm          |
Spangenhelm        |Reinforced Glove   | Bone Helm          |
Spangenhelm        |Knuckles           | Bone Helm          |
Spangenhelm        |Ring Sleeve        | Chain Coif         |
Spangenhelm        |Chain Sleeve       | Ring Mail          |
Spangenhelm        |Gauntlet           | Chain Sleeve       |
Spangenhelm        |Vambrace           | Chain Sleeve       |
Spangenhelm        |Plate Glove        | Chain Sleeve       |
Spangenhelm        |Rondanche          | Chain Sleeve       |
Spangenhelm        |Tilt Glove         | Chain Sleeve       |
Spangenhelm        |Freiturnier        | Gauntlet           | Chain Sleeve
Spangenhelm        |Fluted Glove       | Vambrace           |
Spangenhelm        |Hoplite Glove      | Plate Glove        |
Spangenhelm        |Jazeraint Glove    | Rondanche          |
Spangenhelm        |Dread Glove        | Tilt Glove         |
Cabasset           |Bandage            | Bone Helm          |
Cabasset           |Leather Glove      | Bone Helm          |
Cabasset           |Reinforced Glove   | Bone Helm          |
Cabasset           |Knuckles           | Bone Helm          |
Cabasset           |Ring Sleeve        | Chain Coif         |
Cabasset           |Chain Sleeve       | Spangenhelm        |
Cabasset           |Gauntlet           | Chain Mail         |
Cabasset           |Vambrace           | Gauntlet           |
Cabasset           |Plate Glove        | Gauntlet           |
Cabasset           |Rondanche          | Gauntlet           |
Cabasset           |Tilt Glove         | Gauntlet           |
Cabasset           |Freiturnier        | Gauntlet           |
Cabasset           |Fluted Glove       | Gauntlet           |
Cabasset           |Hoplite Glove      | Vambrace           |
Cabasset           |Jazeraint Glove    | Plate Glove        |
Cabasset           |Dread Glove        | Rondanche          |
Sallet             |Bandage            | Chain Coif         |
Sallet             |Leather Glove      | Chain Coif         |
Sallet             |Reinforced Glove   | Chain Coif         |
Sallet             |Knuckles           | Chain Coif         |
Sallet             |Ring Sleeve        | Chain Coif         |
Sallet             |Chain Sleeve       | Spangenhelm        |
Sallet             |Gauntlet           | Cabasset           |
Sallet             |Vambrace           | Breastplate        |
Sallet             |Plate Glove        | Vambrace           |
Sallet             |Rondanche          | Vambrace           |
Sallet             |Tilt Glove         | Vambrace           |
Sallet             |Freiturnier        | Vambrace           |
Sallet             |Fluted Glove       | Vambrace           |
Sallet             |Hoplite Glove      | Vambrace           |
Sallet             |Jazeraint Glove    | Vambrace           |
Sallet             |Dread Glove        | Plate Glove        |
Barbut             |Bandage            | Spangenhelm        |
Barbut             |Leather Glove      | Spangenhelm        |
Barbut             |Reinforced Glove   | Spangenhelm        |
Barbut             |Knuckles           | Spangenhelm        |
Barbut             |Ring Sleeve        | Chain Coif         |
Barbut             |Chain Sleeve       | Spangenhelm        |
Barbut             |Gauntlet           | Cabasset           |
Barbut             |Vambrace           | Sallet             |
Barbut             |Plate Glove        | Segmentata         |
Barbut             |Rondanche          | Plate Glove        |
Barbut             |Tilt Glove         | Plate Glove        |
Barbut             |Freiturnier        | Plate Glove        |
Barbut             |Fluted Glove       | Plate Glove        |
Barbut             |Hoplite Glove      | Plate Glove        |
Barbut             |Jazeraint Glove    | Plate Glove        |
Barbut             |Dread Glove        | Plate Glove        |
Basinet            |Bandage            | Cabasset           |
Basinet            |Leather Glove      | Cabasset           |
Basinet            |Reinforced Glove   | Cabasset           |
Basinet            |Knuckles           | Cabasset           |
Basinet            |Ring Sleeve        | Spangenhelm        |
Basinet            |Chain Sleeve       | Spangenhelm        |
Basinet            |Gauntlet           | Cabasset           |
Basinet            |Vambrace           | Sallet             |
Basinet            |Plate Glove        | Barbut             |
Basinet            |Rondanche          | Scale Armor        |
Basinet            |Tilt Glove         | Rondanche          |
Basinet            |Freiturnier        | Rondanche          |
Basinet            |Fluted Glove       | Rondanche          |
Basinet            |Hoplite Glove      | Rondanche          |
Basinet            |Jazeraint Glove    | Rondanche          |
Basinet            |Dread Glove        | Rondanche          |
Armet              |Bandage            | Sallet             |
Armet              |Leather Glove      | Sallet             |
Armet              |Reinforced Glove   | Sallet             |
Armet              |Knuckles           | Sallet             |
Armet              |Ring Sleeve        | Cabasset           |
Armet              |Chain Sleeve       | Spangenhelm        |
Armet              |Gauntlet           | Cabasset           |
Armet              |Vambrace           | Sallet             |
Armet              |Plate Glove        | Barbut             |
Armet              |Rondanche          | Basinet            |
Armet              |Tilt Glove         | Brigandine         |
Armet              |Freiturnier        | Tilt Glove         |
Armet              |Fluted Glove       | Tilt Glove         |
Armet              |Hoplite Glove      | Tilt Glove         |
Armet              |Jazeraint Glove    | Tilt Glove         |
Armet              |Dread Glove        | Tilt Glove         |
Close Helm         |Bandage            | Barbut             |
Close Helm         |Leather Glove      | Barbut             |
Close Helm         |Reinforced Glove   | Barbut             |
Close Helm         |Knuckles           | Barbut             |
Close Helm         |Ring Sleeve        | Sallet             |
Close Helm         |Chain Sleeve       | Cabasset           |
Close Helm         |Gauntlet           | Cabasset           |
Close Helm         |Vambrace           | Sallet             |
Close Helm         |Plate Glove        | Barbut             |
Close Helm         |Rondanche          | Basinet            |
Close Helm         |Tilt Glove         | Armet              |
Close Helm         |Freiturnier        | Plate Mail         |
Close Helm         |Fluted Glove       | Freiturnier        |
Close Helm         |Hoplite Glove      | Freiturnier        |
Close Helm         |Jazeraint Glove    | Freiturnier        |
Close Helm         |Dread Glove        | Freiturnier        |
Burgonet           |Bandage            | Basinet            |
Burgonet           |Leather Glove      | Basinet            |
Burgonet           |Reinforced Glove   | Basinet            |
Burgonet           |Knuckles           | Basinet            |
Burgonet           |Ring Sleeve        | Barbut             |
Burgonet           |Chain Sleeve       | Sallet             |
Burgonet           |Gauntlet           | Cabasset           |
Burgonet           |Vambrace           | Sallet             |
Burgonet           |Plate Glove        | Barbut             |
Burgonet           |Rondanche          | Basinet            |
Burgonet           |Tilt Glove         | Armet              |
Burgonet           |Freiturnier        | Close Helm         |
Burgonet           |Fluted Glove       | Fluted Armor       |
Burgonet           |Hoplite Glove      | Fluted Glove       |
Burgonet           |Jazeraint Glove    | Fluted Glove       |
Burgonet           |Dread Glove        | Fluted Glove       |
Hoplite Helm       |Bandage            | Armet              |
Hoplite Helm       |Leather Glove      | Armet              |
Hoplite Helm       |Reinforced Glove   | Armet              |
Hoplite Helm       |Knuckles           | Armet              |
Hoplite Helm       |Ring Sleeve        | Basinet            |
Hoplite Helm       |Chain Sleeve       | Barbut             |
Hoplite Helm       |Gauntlet           | Sallet             |
Hoplite Helm       |Vambrace           | Sallet             |
Hoplite Helm       |Plate Glove        | Barbut             |
Hoplite Helm       |Rondanche          | Basinet            |
Hoplite Helm       |Tilt Glove         | Armet              |
Hoplite Helm       |Freiturnier        | Close Helm         |
Hoplite Helm       |Fluted Glove       | Burgonet           |
Hoplite Helm       |Hoplite Glove      | Hoplite Armor      |
Hoplite Helm       |Jazeraint Glove    | Hoplite Glove      |
Hoplite Helm       |Dread Glove        | Hoplite Glove      |
Jazeraint Helm     |Bandage            | Close Helm         |
Jazeraint Helm     |Leather Glove      | Close Helm         |
Jazeraint Helm     |Reinforced Glove   | Close Helm         |
Jazeraint Helm     |Knuckles           | Close Helm         |
Jazeraint Helm     |Ring Sleeve        | Armet              |
Jazeraint Helm     |Chain Sleeve       | Basinet            |
Jazeraint Helm     |Gauntlet           | Barbut             |
Jazeraint Helm     |Vambrace           | Sallet             |
Jazeraint Helm     |Plate Glove        | Barbut             |
Jazeraint Helm     |Rondanche          | Basinet            |
Jazeraint Helm     |Tilt Glove         | Armet              |
Jazeraint Helm     |Freiturnier        | Close Helm         |
Jazeraint Helm     |Fluted Glove       | Burgonet           |
Jazeraint Helm     |Hoplite Glove      | Hoplite Helm       |
Jazeraint Helm     |Jazeraint Glove    | Jazeraint Armor    |
Jazeraint Helm     |Dread Glove        | Jazeraint Glove    |
Dread Helm         |Bandage            | Burgonet           |
Dread Helm         |Leather Glove      | Burgonet           |
Dread Helm         |Reinforced Glove   | Burgonet           |
Dread Helm         |Knuckles           | Burgonet           |
Dread Helm         |Ring Sleeve        | Close Helm         |
Dread Helm         |Chain Sleeve       | Armet              |
Dread Helm         |Gauntlet           | Basinet            |
Dread Helm         |Vambrace           | Barbut             |
Dread Helm         |Plate Glove        | Barbut             |
Dread Helm         |Rondanche          | Basinet            |
Dread Helm         |Tilt Glove         | Armet              |
Dread Helm         |Freiturnier        | Close Helm         |
Dread Helm         |Fluted Glove       | Burgonet           |
Dread Helm         |Hoplite Glove      | Hoplite Helm       |
Dread Helm         |Jazeraint Glove    | Jazeraint Helm     |
Dread Helm         |Dread Glove        | Dread Armor        |

--Body + Body
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Jerkin             |Jerkin             | Jerkin             |
Jerkin             |Hauberk            | Hauberk            |
Jerkin             |Wizard Robe        | Wizard Robe        |
Jerkin             |Cuirass            | Cuirass            |
Jerkin             |Banded Mail        | Banded Mail        |
Jerkin             |Ring Mail          | Banded Mail        |
Jerkin             |Chain Mail         |+Breastplate        |
Jerkin             |Breastplate        | Banded Mail        |
Jerkin             |Segmentata         | Ring Mail          |
Jerkin             |Scale Armor        | Chain Mail         |
Jerkin             |Brigandine         | Breastplate        |
Jerkin             |Plate Mail         | Segmentata         |
Jerkin             |Fluted Armor       | Scale Armor        |
Jerkin             |Hoplite Armor      | Brigandine         |
Jerkin             |Jazeraint Armor    | Plate Mail         |
Jerkin             |Dread Armor        | Fluted Armor       |
Hauberk            |Hauberk            | Hauberk            |
Hauberk            |Wizard Robe        | Wizard Robe        |
Hauberk            |Cuirass            | Cuirass            |
Hauberk            |Banded Mail        | Banded Mail        |
Hauberk            |Ring Mail          | Banded Mail        |
Hauberk            |Chain Mail         |+Segmentata         |
Hauberk            |Breastplate        | Banded Mail        |
Hauberk            |Segmentata         | Banded Mail        |
Hauberk            |Scale Armor        | Ring Mail          |
Hauberk            |Brigandine         | Chain Mail         |
Hauberk            |Plate Mail         | Breastplate        |
Hauberk            |Fluted Armor       | Segmentata         |
Hauberk            |Hoplite Armor      | Scale Armor        |
Hauberk            |Jazeraint Armor    | Brigandine         |
Hauberk            |Dread Armor        | Plate Mail         |
Wizard Robe        |Wizard Robe        | Wizard Robe        |
Wizard Robe        |Cuirass            | Cuirass            |
Wizard Robe        |Banded Mail        | Banded Mail        |
Wizard Robe        |Ring Mail          |+Breastplate        |
Wizard Robe        |Chain Mail         | Banded Mail        |
Wizard Robe        |Breastplate        | Banded Mail        |
Wizard Robe        |Segmentata         | Banded Mail        |
Wizard Robe        |Scale Armor        | Ring Mail          |
Wizard Robe        |Brigandine         | Ring Mail          |
Wizard Robe        |Plate Mail         | Chain Mail         |
Wizard Robe        |Fluted Armor       | Breastplate        |
Wizard Robe        |Hoplite Armor      | Segmentata         |
Wizard Robe        |Jazeraint Armor    | Scale Armor        |
Wizard Robe        |Dread Armor        | Brigandine         |
Cuirass            |Cuirass            | Cuirass            |
Cuirass            |Banded Mail        |+Ring Mail          |
Cuirass            |Ring Mail          | Ring Mail          |
Cuirass            |Chain Mail         | Banded Mail        |
Cuirass            |Breastplate        |+Segmentata         |
Cuirass            |Segmentata         | Banded Mail        |
Cuirass            |Scale Armor        | Chain Mail         |
Cuirass            |Brigandine         | Breastplate        |
Cuirass            |Plate Mail         | Ring Mail          |
Cuirass            |Fluted Armor       | Chain Mail         |
Cuirass            |Hoplite Armor      | Breastplate        |
Cuirass            |Jazeraint Armor    | Segmentata         |
Cuirass            |Dread Armor        | Scale Armor        |
Banded Mail        |Banded Mail        | Banded Mail        |
Banded Mail        |Ring Mail          |+Chain Mail         |
Banded Mail        |Chain Mail         | Chain Mail         |
Banded Mail        |Breastplate        | Breastplate        |
Banded Mail        |Segmentata         | Chain Mail         |
Banded Mail        |Scale Armor        | Banded Mail        |
Banded Mail        |Brigandine         | Chain Mail         |
Banded Mail        |Plate Mail         | Banded Mail        |
Banded Mail        |Fluted Armor       | Ring Mail          |
Banded Mail        |Hoplite Armor      | Chain Mail         |
Banded Mail        |Jazeraint Armor    | Breastplate        |
Banded Mail        |Dread Armor        | Segmentata         |
Ring Mail          |Ring Mail          | Ring Mail          |
Ring Mail          |Chain Mail         |+Breastplate        |
Ring Mail          |Breastplate        |-Banded Mail        |
Ring Mail          |Segmentata         |-Banded Mail        |
Ring Mail          |Scale Armor        | Breastplate        |
Ring Mail          |Brigandine         | Ring Mail          |
Ring Mail          |Plate Mail         | Segmentata         |
Ring Mail          |Fluted Armor       | Scale Armor        |
Ring Mail          |Hoplite Armor      | Ring Mail          |
Ring Mail          |Jazeraint Armor    | Chain Mail         |
Ring Mail          |Dread Armor        | Breastplate        |
Chain Mail         |Chain Mail         | Chain Mail         |
Chain Mail         |Breastplate        |+Segmentata         |
Chain Mail         |Segmentata         |+Scale Armor        |
Chain Mail         |Scale Armor        |-Banded Mail        |
Chain Mail         |Brigandine         | Scale Armor        |
Chain Mail         |Plate Mail         |-Banded Mail        |
Chain Mail         |Fluted Armor       | Scale Armor        |
Chain Mail         |Hoplite Armor      | Breastplate        |
Chain Mail         |Jazeraint Armor    |-Ring Mail          |
Chain Mail         |Dread Armor        | Chain Mail         |
Breastplate        |Breastplate        | Breastplate        |
Breastplate        |Segmentata         |+Scale Armor        |
Breastplate        |Scale Armor        |+Brigandine         |
Breastplate        |Brigandine         |+Plate Mail         |
Breastplate        |Plate Mail         | Scale Armor        |
Breastplate        |Fluted Armor       | Plate Mail         |
Breastplate        |Hoplite Armor      | Fluted Armor       |
Breastplate        |Jazeraint Armor    |-Banded Mail        |
Breastplate        |Dread Armor        |-Ring Mail          |
Segmentata         |Segmentata         | Segmentata         |
Segmentata         |Scale Armor        |+Brigandine         |
Segmentata         |Brigandine         | Segmentata         |
Segmentata         |Plate Mail         | Brigandine         |
Segmentata         |Fluted Armor       |-Banded Mail        |
Segmentata         |Hoplite Armor      | Plate Mail         |
Segmentata         |Jazeraint Armor    | Segmentata         |
Segmentata         |Dread Armor        | Plate Mail         |
Scale Armor        |Scale Armor        | Scale Armor        |
Scale Armor        |Brigandine         |+Plate Mail         |
Scale Armor        |Plate Mail         |-Banded Mail        |
Scale Armor        |Fluted Armor       | Brigandine         |
Scale Armor        |Hoplite Armor      |-Ring Mail          |
Scale Armor        |Jazeraint Armor    | Fluted Armor       |
Scale Armor        |Dread Armor        |-Banded Mail        |
Brigandine         |Brigandine         | Brigandine         |
Brigandine         |Plate Mail         |+Fluted Armor       |
Brigandine         |Fluted Armor       | Brigandine         |
Brigandine         |Hoplite Armor      | Plate Mail         |
Brigandine         |Jazeraint Armor    |-Scale Armor        |
Brigandine         |Dread Armor        | Fluted Armor       |
Plate Mail         |Plate Mail         | Plate Mail         |
Plate Mail         |Fluted Armor       |+Hoplite Armor      |
Plate Mail         |Hoplite Armor      |-Brigandine         |
Plate Mail         |Jazeraint Armor    |-Brigandine         |
Plate Mail         |Dread Armor        |-Scale Armor        |
Fluted Armor       |Fluted Armor       | Fluted Armor       |
Fluted Armor       |Hoplite Armor      |-Scale Armor        |
Fluted Armor       |Jazeraint Armor    | Fluted Armor       |
Fluted Armor       |Dread Armor        |-Scale Armor        |
Hoplite Armor      |Hoplite Armor      |+Jazeraint Armor    |
Hoplite Armor      |Jazeraint Armor    |-Banded Mail        |
Hoplite Armor      |Dread Armor        |-Plate Mail         |
Jazeraint Armor    |Jazeraint Armor    |+Dread Armor        |
Jazeraint Armor    |Dread Armor        |-Banded Mail        |
Dread Armor        |Dread Armor        | Dread Armor        |

--Body + Leg
# First Slot       |Second Slot        |Result              |(if different)      
# ================= ===================  ==================== ====================
Jerkin             |Sandals            | Jerkin             |
Jerkin             |Boots              | Boots              |
Jerkin             |Long Boots         | Long Boots         |
Jerkin             |Cuisse             | Cuisse             |
Jerkin             |Light Greave       | Cuisse             |
Jerkin             |Ring Leggings      | Cuisse             |
Jerkin             |Chain Leggings     | Cuisse             |
Jerkin             |Fusskampf          | Light Greave       |
Jerkin             |Poleyn             | Ring Leggings      |
Jerkin             |Jambeau            | Chain Leggings     |
Jerkin             |Missaglia          | Fusskampf          |
Jerkin             |Plate Leggings     | Poleyn             |
Jerkin             |Fluted Leggings    | Jambeau            |
Jerkin             |Hoplite Leggings   | Missaglia          |
Jerkin             |Jazeraint Leggings | Plate Leggings     |
Jerkin             |Dread Leggings     | Fluted Leggings    |
Hauberk            |Sandals            | Hauberk            |
Hauberk            |Boots              | Boots              |
Hauberk            |Long Boots         | Long Boots         |
Hauberk            |Cuisse             | Cuisse             |
Hauberk            |Light Greave       | Cuisse             |
Hauberk            |Ring Leggings      | Cuisse             |
Hauberk            |Chain Leggings     | Cuisse             |
Hauberk            |Fusskampf          | Light Greave       |
Hauberk            |Poleyn             | Ring Leggings      |
Hauberk            |Jambeau            | Chain Leggings     |
Hauberk            |Missaglia          | Fusskampf          |
Hauberk            |Plate Leggings     | Poleyn             |
Hauberk            |Fluted Leggings    | Jambeau            |
Hauberk            |Hoplite Leggings   | Missaglia          |
Hauberk            |Jazeraint Leggings | Plate Leggings     |
Hauberk            |Dread Leggings     | Fluted Leggings    |
Wizard Robe        |Sandals            | Wizard Robe        |
Wizard Robe        |Boots              | Wizard Robe        |
Wizard Robe        |Long Boots         | Long Boots         |
Wizard Robe        |Cuisse             | Cuisse             |
Wizard Robe        |Light Greave       | Cuisse             |
Wizard Robe        |Ring Leggings      | Cuisse             |
Wizard Robe        |Chain Leggings     | Cuisse             |
Wizard Robe        |Fusskampf          | Light Greave       |
Wizard Robe        |Poleyn             | Ring Leggings      |
Wizard Robe        |Jambeau            | Chain Leggings     |
Wizard Robe        |Missaglia          | Fusskampf          |
Wizard Robe        |Plate Leggings     | Poleyn             |
Wizard Robe        |Fluted Leggings    | Jambeau            |
Wizard Robe        |Hoplite Leggings   | Missaglia          |
Wizard Robe        |Jazeraint Leggings | Plate Leggings     |
Wizard Robe        |Dread Leggings     | Fluted Leggings    |
Cuirass            |Sandals            | Cuirass            |
Cuirass            |Boots              | Cuirass            |
Cuirass            |Long Boots         | Cuirass            |
Cuirass            |Cuisse             | Knuckles           |
Cuirass            |Light Greave       | Cuisse             |
Cuirass            |Ring Leggings      | Cuisse             |
Cuirass            |Chain Leggings     | Cuisse             |
Cuirass            |Fusskampf          | Light Greave       |
Cuirass            |Poleyn             | Ring Leggings      |
Cuirass            |Jambeau            | Chain Leggings     |
Cuirass            |Missaglia          | Fusskampf          |
Cuirass            |Plate Leggings     | Poleyn             |
Cuirass            |Fluted Leggings    | Jambeau            |
Cuirass            |Hoplite Leggings   | Missaglia          |
Cuirass            |Jazeraint Leggings | Plate Leggings     |
Cuirass            |Dread Leggings     | Fluted Leggings    |
Banded Mail        |Sandals            | Banded Mail        |
Banded Mail        |Boots              | Banded Mail        |
Banded Mail        |Long Boots         | Banded Mail        |
Banded Mail        |Cuisse             | Banded Mail        |
Banded Mail        |Light Greave       | Ring Sleeve        |
Banded Mail        |Ring Leggings      | Cuisse             |
Banded Mail        |Chain Leggings     | Cuisse             |
Banded Mail        |Fusskampf          | Light Greave       |
Banded Mail        |Poleyn             | Ring Leggings      |
