# weapon-combos.txt
#
# Vagrant Story weapon combination tables
#
# Lines beginning with "--" identify item types
#
# It is possible for a different combination to result from swapped items.
# For example usually A + B = C but sometimes B + A = D
#
# Taken from Combination Guide
# Author:  Jay Tilton
# Email:  tiltonj@erols.com
# Copyright Jay Tilton, 2000

--Dagger + Dagger
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Battle Knife      |Battle Knife      | Battle Knife      |
Spatha            |Schiavona         | Executioner       |
Spatha            |Bastard Sword     | Claymore          |
Spatha            |Nodachi           | Schiavona         |
Spatha            |Rune Blade        | Bastard Sword     |
Spatha            |Holy Win          | Spatha            |
Scimitar          |Broad Sword       | Spatha            |
Scimitar          |Norse Sword       | Norse Sword       |
Scimitar          |Katana            | Norse Sword       |
Scimitar          |Executioner       | Norse Sword       |
Scimitar          |Claymore          | Norse Sword       |
Scimitar          |Schiavona         | Katana            |
Scimitar          |Bastard Sword     | Executioner       |
Scimitar          |Nodachi           | Claymore          |
Scimitar          |Rune Blade        | Schiavona         |
Scimitar          |Holy Win          | Scimitar          |
Rapier            |Broad Sword       | Spatha            |
Rapier            |Norse Sword       | Hand Axe          |
Rapier            |Katana            | Katana            |
Rapier            |Executioner       | Katana            |
Rapier            |Claymore          | Katana            |
Rapier            |Schiavona         | Katana            |
Rapier            |Bastard Sword     | Katana            |
Rapier            |Nodachi           | Executioner       |
Rapier            |Rune Blade        | Claymore          |
Rapier            |Holy Win          | Rapier            |
Short Sword       |Broad Sword       | Spatha            |
Short Sword       |Norse Sword       | Scimitar          |
Short Sword       |Katana            | Battle Axe        |
Short Sword       |Executioner       | Executioner       |
Short Sword       |Claymore          | Executioner       |
Short Sword       |Schiavona         | Executioner       |
Short Sword       |Bastard Sword     | Executioner       |
Short Sword       |Nodachi           | Executioner       |
Short Sword       |Rune Blade        | Executioner       |
Short Sword       |Holy Win          | Short Sword       |
Firangi           |Broad Sword       | Scimitar          |
Firangi           |Norse Sword       | Scimitar          |
Firangi           |Katana            | Goblin Club       |
Firangi           |Executioner       | Francisca         |
Firangi           |Claymore          | Guisarme          |
Firangi           |Schiavona         | Claymore          |
Firangi           |Bastard Sword     | Claymore          |
Firangi           |Nodachi           | Claymore          |
Firangi           |Rune Blade        | Claymore          |
Firangi           |Holy Win          | Firangi           |
Shamshir          |Broad Sword       | Rapier            |
Shamshir          |Norse Sword       | Scimitar          |
Shamshir          |Katana            | Rapier            |
Shamshir          |Executioner       | Spiked Club       |
Shamshir          |Claymore          | Tabarzin          |
Shamshir          |Schiavona         | Large Crescent    |
Shamshir          |Bastard Sword     | Schiavona         |
Shamshir          |Nodachi           | Schiavona         |
Shamshir          |Rune Blade        | Schiavona         |
Shamshir          |Holy Win          | Shamshir          |
Falchion          |Broad Sword       | Short Sword       |
Falchion          |Norse Sword       | Rapier            |
Falchion          |Katana            | Rapier            |
Falchion          |Executioner       | Short Sword       |
Falchion          |Claymore          | Ball Mace         |
Falchion          |Schiavona         | Chamkaq           |
Falchion          |Bastard Sword     | Sabre Halberd     |
Falchion          |Nodachi           | Bastard Sword     |
Falchion          |Rune Blade        | Bastard Sword     |
Falchion          |Holy Win          | Falchion          |
Shotel            |Broad Sword       | Firangi           |
Shotel            |Norse Sword       | Short Sword       |
Shotel            |Katana            | Rapier            |
Shotel            |Executioner       | Short Sword       |
Shotel            |Claymore          | Firangi           |
Shotel            |Schiavona         | Footman's Mace 1H |
Shotel            |Bastard Sword     | Tabar             |
Shotel            |Nodachi           | Balbriggan        |
Shotel            |Rune Blade        | Nodachi           |
Shotel            |Holy Win          | Shotel            |
Khora             |Broad Sword       | Shamshir          |
Khora             |Norse Sword       | Firangi           |
Khora             |Katana            | Short Sword       |
Khora             |Executioner       | Short Sword       |
Khora             |Claymore          | Firangi           |
Khora             |Schiavona         | Shamshir          |
Khora             |Bastard Sword     | Morning Star      |
Khora             |Nodachi           | Bullova           |
Khora             |Rune Blade        | Double Blade      |
Khora             |Holy Win          | Khora             |
Khopesh           |Broad Sword       | Falchion          |
Khopesh           |Norse Sword       | Shamshir          |
Khopesh           |Katana            | Firangi           |
Khopesh           |Executioner       | Short Sword       |
Khopesh           |Claymore          | Firangi           |
Khopesh           |Schiavona         | Shamshir          |
Khopesh           |Bastard Sword     | Falchion          |
Khopesh           |Nodachi           | War Hammer        |
Khopesh           |Rune Blade        | Crescent          |
Khopesh           |Holy Win          | Khopesh           |
Wakizashi         |Broad Sword       | Shotel            |
Wakizashi         |Norse Sword       | Falchion          |
Wakizashi         |Katana            | Shamshir          |
Wakizashi         |Executioner       | Firangi           |
Wakizashi         |Claymore          | Firangi           |
Wakizashi         |Schiavona         | Shamshir          |
Wakizashi         |Bastard Sword     | Falchion          |
Wakizashi         |Nodachi           | Shotel            |
Wakizashi         |Rune Blade        | Bec de Corbin     |
Wakizashi         |Holy Win          | Wakizashi         |
Rhomphaia         |Broad Sword       | Broad Sword       |
Rhomphaia         |Norse Sword       | Norse Sword       |
Rhomphaia         |Katana            | Katana            |
Rhomphaia         |Executioner       | Executioner       |
Rhomphaia         |Claymore          | Claymore          |
Rhomphaia         |Schiavona         | Schiavona         |
Rhomphaia         |Bastard Sword     | Bastard Sword     |
Rhomphaia         |Nodachi           | Nodachi           |
Rhomphaia         |Rune Blade        | Rune Blade        |
Rhomphaia         |Holy Win          | Rhomphaia         |

--Sword + Axe
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Spatha            |Hand Axe          | Hand Axe          |
Spatha            |Battle Axe        | Hand Axe          |
Spatha            |Francisca         | Battle Axe        |
Spatha            |Tabarzin          | Francisca         |
Spatha            |Chamkaq           | Tabarzin          |
Spatha            |Tabar             | Chamkaq           |
Spatha            |Bullova           | Tabar             |
Spatha            |Crescent          | Bullova           |
Scimitar          |Hand Axe          | Goblin Club       |
Scimitar          |Battle Axe        | Battle Axe        |
Scimitar          |Francisca         | Battle Axe        |
Scimitar          |Tabarzin          | Battle Axe        |
Scimitar          |Chamkaq           | Francisca         |
Scimitar          |Tabar             | Tabarzin          |
Scimitar          |Bullova           | Chamkaq           |
Scimitar          |Crescent          | Tabar             |
Rapier            |Hand Axe          | Spatha            |
Rapier            |Battle Axe        | Spiked Club       |
Rapier            |Francisca         | Francisca         |
Rapier            |Tabarzin          | Francisca         |
Rapier            |Chamkaq           | Francisca         |
Rapier            |Tabar             | Francisca         |
Rapier            |Bullova           | Tabarzin          |
Rapier            |Crescent          | Chamkaq           |
Short Sword       |Hand Axe          | Spatha            |
Short Sword       |Battle Axe        | Scimitar          |
Short Sword       |Francisca         | Ball Mace         |
Short Sword       |Tabarzin          | Wizard Staff      |
Short Sword       |Chamkaq           | Tabarzin          |
Short Sword       |Tabar             | Tabarzin          |
Short Sword       |Bullova           | Tabarzin          |
Short Sword       |Crescent          | Tabarzin          |
Firangi           |Hand Axe          | Scimitar          |
Firangi           |Battle Axe        | Scimitar          |
Firangi           |Francisca         | Rapier            |
Firangi           |Tabarzin          | Footman's Mace 1H |
Firangi           |Chamkaq           | Clergy Rod        |
Firangi           |Tabar             | Chamkaq           |
Firangi           |Bullova           | Chamkaq           |
Firangi           |Crescent          | Chamkaq           |
Shamshir          |Hand Axe          | Rapier            |
Shamshir          |Battle Axe        | Scimitar          |
Shamshir          |Francisca         | Rapier            |
Shamshir          |Tabarzin          | Guisarme          |
Shamshir          |Chamkaq           | Morning Star      |
Shamshir          |Tabar             | Summoner Baton    |
Shamshir          |Bullova           | Tabar             |
Shamshir          |Crescent          | Tabar             |
Falchion          |Hand Axe          | Short Sword       |
Falchion          |Battle Axe        | Rapier            |
Falchion          |Francisca         | Rapier            |
Falchion          |Tabarzin          | Short Sword       |
Falchion          |Chamkaq           | Large Crescent    |
Falchion          |Tabar             | War Hammer        |
Falchion          |Bullova           | Shamanic Staff    |
Falchion          |Crescent          | Bullova           |
Shotel            |Hand Axe          | Firangi           |
Shotel            |Battle Axe        | Short Sword       |
Shotel            |Francisca         | Rapier            |
Shotel            |Tabarzin          | Short Sword       |
Shotel            |Chamkaq           | Firangi           |
Shotel            |Tabar             | Sabre Halberd     |
Shotel            |Bullova           | Bec de Corbin     |
Shotel            |Crescent          | Bishop's Crosier  |
Khora             |Hand Axe          | Shamshir          |
Khora             |Battle Axe        | Firangi           |
Khora             |Francisca         | Short Sword       |
Khora             |Tabarzin          | Short Sword       |
Khora             |Chamkaq           | Firangi           |
Khora             |Tabar             | Shamshir          |
Khora             |Bullova           | Balbriggan        |
Khora             |Crescent          | War Maul          |
Khopesh           |Hand Axe          | Falchion          |
Khopesh           |Battle Axe        | Shamshir          |
Khopesh           |Francisca         | Firangi           |
Khopesh           |Tabarzin          | Short Sword       |
Khopesh           |Chamkaq           | Firangi           |
Khopesh           |Tabar             | Shamshir          |
Khopesh           |Bullova           | Falchion          |
Khopesh           |Crescent          | Double Blade      |
Wakizashi         |Hand Axe          | Shotel            |
Wakizashi         |Battle Axe        | Falchion          |
Wakizashi         |Francisca         | Shamshir          |
Wakizashi         |Tabarzin          | Firangi           |
Wakizashi         |Chamkaq           | Firangi           |
Wakizashi         |Tabar             | Shamshir          |
Wakizashi         |Bullova           | Falchion          |
Wakizashi         |Crescent          | Shotel            |
Rhomphaia         |Hand Axe          | Hand Axe          |
Rhomphaia         |Battle Axe        | Battle Axe        |
Rhomphaia         |Francisca         | Francisca         |
Rhomphaia         |Tabarzin          | Tabarzin          |
Rhomphaia         |Chamkaq           | Chamkaq           |
Rhomphaia         |Tabar             | Tabar             |
Rhomphaia         |Bullova           | Bullova           |
Rhomphaia         |Crescent          | Crescent          |

--Sword + Mace
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Spatha            |Goblin Club       | Goblin Club       |
Spatha            |Spiked Club       | Goblin Club       |
Spatha            |Ball Mace         | Spiked Club       |
Spatha            |Footman's Mace 1H | Ball Mace         |
Spatha            |Morning Star      | Footman's Mace 1H |
Spatha            |War Hammer        | Morning Star      |
Spatha            |Bec de Corbin     | War Hammer        |
Spatha            |War Maul          | Bec de Corbin     |
Scimitar          |Goblin Club       | Spatha            |
Scimitar          |Spiked Club       | Spiked Club       |
Scimitar          |Ball Mace         | Spiked Club       |
Scimitar          |Footman's Mace 1H | Spiked Club       |
Scimitar          |Morning Star      | Ball Mace         |
Scimitar          |War Hammer        | Footman's Mace 1H |
Scimitar          |Bec de Corbin     | Morning Star      |
Scimitar          |War Maul          | War Hammer        |
Rapier            |Goblin Club       | Spatha            |
Rapier            |Spiked Club       | Scimitar          |
Rapier            |Ball Mace         | Ball Mace         |
Rapier            |Footman's Mace 1H | Ball Mace         |
Rapier            |Morning Star      | Ball Mace         |
Rapier            |War Hammer        | Ball Mace         |
Rapier            |Bec de Corbin     | Footman's Mace 1H |
Rapier            |War Maul          | Morning Star      |
Short Sword       |Goblin Club       | Spatha            |
Short Sword       |Spiked Club       | Scimitar          |
Short Sword       |Ball Mace         | Guisarme          |
Short Sword       |Footman's Mace 1H | Sabre Mace        |
Short Sword       |Morning Star      | Footman's Mace 1H |
Short Sword       |War Hammer        | Footman's Mace 1H |
Short Sword       |Bec de Corbin     | Footman's Mace 1H |
Short Sword       |War Maul          | Footman's Mace 1H |
Firangi           |Goblin Club       | Scimitar          |
Firangi           |Spiked Club       | Scimitar          |
Firangi           |Ball Mace         | Rapier            |
Firangi           |Footman's Mace 1H | Large Crescent    |
Firangi           |Morning Star      | Footman's Mace 2H |
Firangi           |War Hammer        | Morning Star      |
Firangi           |Bec de Corbin     | Morning Star      |
Firangi           |War Maul          | Morning Star      |
Shamshir          |Goblin Club       | Rapier            |
Shamshir          |Spiked Club       | Scimitar          |
Shamshir          |Ball Mace         | Rapier            |
Shamshir          |Footman's Mace 1H | Wizard Staff      |
Shamshir          |Morning Star      | Sabre Halberd     |
Shamshir          |War Hammer        | Gloomwing         |
Shamshir          |Bec de Corbin     | War Hammer        |
Shamshir          |War Maul          | War Hammer        |
Falchion          |Goblin Club       | Short Sword       |
Falchion          |Spiked Club       | Rapier            |
Falchion          |Ball Mace         | Rapier            |
Falchion          |Footman's Mace 1H | Short Sword       |
Falchion          |Morning Star      | Clergy Rod        |
Falchion          |War Hammer        | Balbriggan        |
Falchion          |Bec de Corbin     | Mjolnir           |
Falchion          |War Maul          | Bec de Corbin     |
Shotel            |Goblin Club       | Firangi           |
Shotel            |Spiked Club       | Short Sword       |
Shotel            |Ball Mace         | Rapier            |
Shotel            |Footman's Mace 1H | Short Sword       |
Shotel            |Morning Star      | Firangi           |
Shotel            |War Hammer        | Summoner Baton    |
Shotel            |Bec de Corbin     | Double Blade      |
Shotel            |War Maul          | Griever           |
Khora             |Goblin Club       | Shamshir          |
Khora             |Spiked Club       | Firangi           |
Khora             |Ball Mace         | Short Sword       |
Khora             |Footman's Mace 1H | Short Sword       |
Khora             |Morning Star      | Firangi           |
Khora             |War Hammer        | Shamshir          |
Khora             |Bec de Corbin     | Shamanic Staff    |
Khora             |War Maul          | Halberd           |
Khopesh           |Goblin Club       | Falchion          |
Khopesh           |Spiked Club       | Shamshir          |
Khopesh           |Ball Mace         | Firangi           |
Khopesh           |Footman's Mace 1H | Short Sword       |
Khopesh           |Morning Star      | Firangi           |
Khopesh           |War Hammer        | Shamshir          |
Khopesh           |Bec de Corbin     | Falchion          |
Khopesh           |War Maul          | Bishop's Crosier  |
Wakizashi         |Goblin Club       | Shotel            |
Wakizashi         |Spiked Club       | Falchion          |
Wakizashi         |Ball Mace         | Shamshir          |
Wakizashi         |Footman's Mace 1H | Firangi           |
Wakizashi         |Morning Star      | Firangi           |
Wakizashi         |War Hammer        | Shamshir          |
Wakizashi         |Bec de Corbin     | Falchion          |
Wakizashi         |War Maul          | Shotel            |
Rhomphaia         |Goblin Club       | Goblin Club       |
Rhomphaia         |Spiked Club       | Spiked Club       |
Rhomphaia         |Ball Mace         | Ball Mace         |
Rhomphaia         |Footman's Mace 1H | Footman's Mace 1H |
Rhomphaia         |Morning Star      | Morning Star      |
Rhomphaia         |War Hammer        | War Hammer        |
Rhomphaia         |Bec de Corbin     | Bec de Corbin     |
Rhomphaia         |War Maul          | War Maul          |

--Sword + Great Axe
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Spatha            |Guisarme          | Guisarme          |
Spatha            |Large Crescent    | Guisarme          |
Spatha            |Sabre Halberd     | Large Crescent    |
Spatha            |Balbriggan        | Sabre Halberd     |
Spatha            |Double Blade      | Balbriggan        |
Spatha            |Halberd           | Double Blade      |
Scimitar          |Guisarme          | Wizard Staff      |
Scimitar          |Large Crescent    | Large Crescent    |
Scimitar          |Sabre Halberd     | Large Crescent    |
Scimitar          |Balbriggan        | Sabre Halberd     |
Scimitar          |Double Blade      | Balbriggan        |
Scimitar          |Halberd           | Double Blade      |
Rapier            |Guisarme          | Sabre Mace        |
Rapier            |Large Crescent    | Spear             |
Rapier            |Sabre Halberd     | Large Crescent    |
Rapier            |Balbriggan        | Large Crescent    |
Rapier            |Double Blade      | Sabre Halberd     |
Rapier            |Halberd           | Balbriggan        |
Short Sword       |Guisarme          | Spatha            |
Short Sword       |Large Crescent    | Clergy Rod        |
Short Sword       |Sabre Halberd     | Sabre Halberd     |
Short Sword       |Balbriggan        | Sabre Halberd     |
Short Sword       |Double Blade      | Sabre Halberd     |
Short Sword       |Halberd           | Balbriggan        |
Firangi           |Guisarme          | Scimitar          |
Firangi           |Large Crescent    | Footman's Mace 2H |
Firangi           |Sabre Halberd     | Glaive            |
Firangi           |Balbriggan        | Sabre Halberd     |
Firangi           |Double Blade      | Sabre Halberd     |
Firangi           |Halberd           | Sabre Halberd     |
Shamshir          |Guisarme          | Rapier            |
Shamshir          |Large Crescent    | Scimitar          |
Shamshir          |Sabre Halberd     | Summoner Baton    |
Shamshir          |Balbriggan        | Balbriggan        |
Shamshir          |Double Blade      | Balbriggan        |
Shamshir          |Halberd           | Balbriggan        |
Falchion          |Guisarme          | Short Sword       |
Falchion          |Large Crescent    | Rapier            |
Falchion          |Sabre Halberd     | Gloomwing         |
Falchion          |Balbriggan        | Scorpion          |
Falchion          |Double Blade      | Balbriggan        |
Falchion          |Halberd           | Balbriggan        |
Shotel            |Guisarme          | Firangi           |
Shotel            |Large Crescent    | Short Sword       |
Shotel            |Sabre Halberd     | Rapier            |
Shotel            |Balbriggan        | Shamanic Staff    |
Shotel            |Double Blade      | Corcesca          |
Shotel            |Halberd           | Double Blade      |
Khora             |Guisarme          | Shamshir          |
Khora             |Large Crescent    | Firangi           |
Khora             |Sabre Halberd     | Short Sword       |
Khora             |Balbriggan        | Mjolnir           |
Khora             |Double Blade      | Bishop's Crosier  |
Khora             |Halberd           | Double Blade      |
Khopesh           |Guisarme          | Falchion          |
Khopesh           |Large Crescent    | Shamshir          |
Khopesh           |Sabre Halberd     | Firangi           |
Khopesh           |Balbriggan        | Short Sword       |
Khopesh           |Double Blade      | Griever           |
Khopesh           |Halberd           | Trident           |
Wakizashi         |Guisarme          | Shotel            |
Wakizashi         |Large Crescent    | Falchion          |
Wakizashi         |Sabre Halberd     | Shamshir          |
Wakizashi         |Balbriggan        | Firangi           |
Wakizashi         |Double Blade      | Firangi           |
Wakizashi         |Halberd           | Sage's Cane       |
Rhomphaia         |Guisarme          | Guisarme          |
Rhomphaia         |Large Crescent    | Large Crescent    |
Rhomphaia         |Sabre Halberd     | Sabre Halberd     |
Rhomphaia         |Balbriggan        | Balbriggan        |
Rhomphaia         |Double Blade      | Double Blade      |
Rhomphaia         |Halberd           | Halberd           |

--Sword + Staff
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Spatha            |Wizard Staff      | Sabre Mace        |
Spatha            |Clergy Rod        | Wizard Staff      |
Spatha            |Summoner Baton    | Clergy Rod        |
Spatha            |Shamanic Staff    | Summoner Baton    |
Spatha            |Bishop's Crosier  | Shamanic Staff    |
Spatha            |Sage's Cane       | Bishop's Crosier  |
Scimitar          |Wizard Staff      | Spear             |
Scimitar          |Clergy Rod        | Gastraph Bow      |
Scimitar          |Summoner Baton    | Clergy Rod        |
Scimitar          |Shamanic Staff    | Summoner Baton    |
Scimitar          |Bishop's Crosier  | Shamanic Staff    |
Scimitar          |Sage's Cane       | Bishop's Crosier  |
Rapier            |Wizard Staff      | Spatha            |
Rapier            |Clergy Rod        | Footman's Mace 2H |
Rapier            |Summoner Baton    | Clergy Rod        |
Rapier            |Shamanic Staff    | Clergy Rod        |
Rapier            |Bishop's Crosier  | Summoner Baton    |
Rapier            |Sage's Cane       | Shamanic Staff    |
Short Sword       |Wizard Staff      | Spatha            |
Short Sword       |Clergy Rod        | Glaive            |
Short Sword       |Summoner Baton    | Light Crossbow    |
Short Sword       |Shamanic Staff    | Summoner Baton    |
Short Sword       |Bishop's Crosier  | Summoner Baton    |
Short Sword       |Sage's Cane       | Shamanic Staff    |
Firangi           |Wizard Staff      | Scimitar          |
Firangi           |Clergy Rod        | Scimitar          |
Firangi           |Summoner Baton    | Gloomwing         |
Firangi           |Shamanic Staff    | Summoner Baton    |
Firangi           |Bishop's Crosier  | Summoner Baton    |
Firangi           |Sage's Cane       | Summoner Baton    |
Shamshir          |Wizard Staff      | Rapier            |
Shamshir          |Clergy Rod        | Scimitar          |
Shamshir          |Summoner Baton    | Scorpion          |
Shamshir          |Shamanic Staff    | Target Bow        |
Shamshir          |Bishop's Crosier  | Shamanic Staff    |
Shamshir          |Sage's Cane       | Shamanic Staff    |
Falchion          |Wizard Staff      | Short Sword       |
Falchion          |Clergy Rod        | Rapier            |
Falchion          |Summoner Baton    | Rapier            |
Falchion          |Shamanic Staff    | Mjolnir           |
Falchion          |Bishop's Crosier  | Shamanic Staff    |
Falchion          |Sage's Cane       | Shamanic Staff    |
Shotel            |Wizard Staff      | Firangi           |
Shotel            |Clergy Rod        | Short Sword       |
Shotel            |Summoner Baton    | Rapier            |
Shotel            |Shamanic Staff    | Corcesca          |
Shotel            |Bishop's Crosier  | Windlass          |
Shotel            |Sage's Cane       | Bishop's Crosier  |
Khora             |Wizard Staff      | Shamshir          |
Khora             |Clergy Rod        | Firangi           |
Khora             |Summoner Baton    | Short Sword       |
Khora             |Shamanic Staff    | Short Sword       |
Khora             |Bishop's Crosier  | Griever           |
Khora             |Sage's Cane       | Bishop's Crosier  |
Khopesh           |Wizard Staff      | Falchion          |
Khopesh           |Clergy Rod        | Shamshir          |
Khopesh           |Summoner Baton    | Firangi           |
Khopesh           |Shamanic Staff    | Short Sword       |
Khopesh           |Bishop's Crosier  | Trident           |
Khopesh           |Sage's Cane       | Cranequin         |
Wakizashi         |Wizard Staff      | Shotel            |
Wakizashi         |Clergy Rod        | Falchion          |
Wakizashi         |Summoner Baton    | Shamshir          |
Wakizashi         |Shamanic Staff    | Firangi           |
Wakizashi         |Bishop's Crosier  | Firangi           |
Wakizashi         |Sage's Cane       | Destroyer         |
Rhomphaia         |Wizard Staff      | Wizard Staff      |
Rhomphaia         |Clergy Rod        | Clergy Rod        |
Rhomphaia         |Summoner Baton    | Summoner Baton    |
Rhomphaia         |Shamanic Staff    | Shamanic Staff    |
Rhomphaia         |Bishop's Crosier  | Bishop's Crosier  |
Rhomphaia         |Sage's Cane       | Sage's Cane       |

--Sword + Heavy Mace
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Spatha            |Langdebeve        | Spear             |
Spatha            |Sabre Mace        | Sabre Mace        |
Spatha            |Footman's Mace 2H | Sabre Mace        |
Spatha            |Gloomwing         | Sabre Mace        |
Spatha            |Mjolnir           | Footman's Mace 2H | Double Blade
Spatha            |Griever           | Gloomwing         |
Spatha            |Destroyer         | Mjolnir           |
Spatha            |Hand of Light     | Spatha            |
Scimitar          |Langdebeve        | Gastraph Bow      |
Scimitar          |Sabre Mace        | Spatha            |
Scimitar          |Footman's Mace 2H | Sabre Mace        |
Scimitar          |Gloomwing         | Sabre Mace        |
Scimitar          |Mjolnir           | Sabre Mace        |
Scimitar          |Griever           | Footman's Mace 2H |
Scimitar          |Destroyer         | Gloomwing         |
Scimitar          |Hand of Light     | Scimitar          |
Rapier            |Langdebeve        | Spatha            |
Rapier            |Sabre Mace        | Glaive            |
Rapier            |Footman's Mace 2H | Scimitar          |
Rapier            |Gloomwing         | Footman's Mace 2H |
Rapier            |Mjolnir           | Footman's Mace 2H |
Rapier            |Griever           | Footman's Mace 2H |
Rapier            |Destroyer         | Gloomwing         |
Rapier            |Hand of Light     | Rapier            |
Short Sword       |Langdebeve        | Spatha            |
Short Sword       |Sabre Mace        | Light Crossbow    |
Short Sword       |Footman's Mace 2H | Scorpion          |
Short Sword       |Gloomwing         | Footman's Mace 2H |
Short Sword       |Mjolnir           | Footman's Mace 2H |
Short Sword       |Griever           | Footman's Mace 2H |
Short Sword       |Destroyer         | Footman's Mace 2H |
Short Sword       |Hand of Light     | Short Sword       |
Firangi           |Langdebeve        | Scimitar          |
Firangi           |Sabre Mace        | Scimitar          |
Firangi           |Footman's Mace 2H | Target Bow        |
Firangi           |Gloomwing         | Rapier            |
Firangi           |Mjolnir           | Gloomwing         |
Firangi           |Griever           | Gloomwing         |
Firangi           |Destroyer         | Gloomwing         |
Firangi           |Hand of Light     | Firangi           |
Shamshir          |Langdebeve        | Rapier            |
Shamshir          |Sabre Mace        | Scimitar          |
Shamshir          |Footman's Mace 2H | Rapier            |
Shamshir          |Gloomwing         | Corcesca          |
Shamshir          |Mjolnir           | Gloomwing         |
Shamshir          |Griever           | Gloomwing         |
Shamshir          |Destroyer         | Gloomwing         |
Shamshir          |Hand of Light     | Shamshir          |
Falchion          |Langdebeve        | Short Sword       |
Falchion          |Sabre Mace        | Rapier            |
Falchion          |Footman's Mace 2H | Rapier            |
Falchion          |Gloomwing         | Windlass          |
Falchion          |Mjolnir           | Short Sword       |
Falchion          |Griever           | Mjolnir           |
Falchion          |Destroyer         | Mjolnir           |
Falchion          |Hand of Light     | Falchion          |
Shotel            |Langdebeve        | Firangi           |
Shotel            |Sabre Mace        | Short Sword       |
Shotel            |Footman's Mace 2H | Rapier            |
Shotel            |Gloomwing         | Short Sword       |
Shotel            |Mjolnir           | Trident           |
Shotel            |Griever           | Mjolnir           |
Shotel            |Destroyer         | Mjolnir           |
Shotel            |Hand of Light     | Shotel            |
Khora             |Langdebeve        | Shamshir          |
Khora             |Sabre Mace        | Firangi           |
Khora             |Footman's Mace 2H | Short Sword       |
Khora             |Gloomwing         | Short Sword       |
Khora             |Mjolnir           | Cranequin         |
Khora             |Griever           | Firangi           |
Khora             |Destroyer         | Griever           |
Khora             |Hand of Light     | Khora             |
Khopesh           |Langdebeve        | Falchion          |
Khopesh           |Sabre Mace        | Shamshir          |
Khopesh           |Footman's Mace 2H | Firangi           |
Khopesh           |Gloomwing         | Short Sword       |
Khopesh           |Mjolnir           | Firangi           |
Khopesh           |Griever           | Awl Pike          |
Khopesh           |Destroyer         | Griever           |
Khopesh           |Hand of Light     | Khopesh           |
Wakizashi         |Langdebeve        | Shotel            |
Wakizashi         |Sabre Mace        | Falchion          |
Wakizashi         |Footman's Mace 2H | Shamshir          |
Wakizashi         |Gloomwing         | Firangi           |
Wakizashi         |Mjolnir           | Firangi           |
Wakizashi         |Griever           | Lug Crossbow      |
Wakizashi         |Destroyer         | Shamshir          |
Wakizashi         |Hand of Light     | Wakizashi         |
Rhomphaia         |Langdebeve        | Langdebeve        |
Rhomphaia         |Sabre Mace        | Sabre Mace        |
Rhomphaia         |Footman's Mace 2H | Footman's Mace 2H |
Rhomphaia         |Gloomwing         | Gloomwing         |
Rhomphaia         |Mjolnir           | Mjolnir           |
Rhomphaia         |Griever           | Griever           |
Rhomphaia         |Destroyer         | Destroyer         |
Rhomphaia         |Hand of Light     | Rhomphaia         | Hand of Light

--Sword + Polearm
# First Slot      |Second Slot       |Result             |(if different)     
# ================ ==================  =================== ===================
Spatha            |Spear             | Spear             |
Spatha            |Glaive            | Battle Knife      |
Spatha            |Scorpion          | Spear             |
Spatha            |Corcesca          | Spear             |
Spatha            |Trident           | Glaive            |
Spatha            |Awl Pike          | Scorpion          |
Spatha            |Boar Spear        | Corcesca          |
Spatha            |Fauchard          | Trident           |
Spatha            |Voulge            | Awl Pike          |
Spatha            |Pole Axe          | Boar Spear        |
Spatha            |Bardysh           | Fauchard          |
Spatha            |Brandestoc        | Voulge            |
Scimitar          |Spear             | Spatha            |
Scimitar          |Glaive            | Glaive            |
Scimitar          |Scorpion          | Scramasax         |
Scimitar          |Corcesca          | Glaive            |
Scimitar          |Trident           | Glaive            |
Scimitar          |Awl Pike          | Glaive            |
Scimitar          |Boar Spear        | Scorpion          |
Scimitar          |Fauchard          | Corcesca          |
Scimitar          |Voulge            | Trident           |
Scimitar          |Pole Axe          | Awl Pike          |
Scimitar          |Bardysh           | Boar Spear        |
Scimitar          |Brandestoc        | Fauchard          |
Rapier            |Spear             | Spatha            |
Rapier            |Glaive            | Scimitar          |
Rapier            |Scorpion          | Scorpion          |
Rapier            |Corcesca          | Dirk              |
Rapier            |Trident           | Scorpion          |
Rapier            |Awl Pike          | Scorpion          |
Rapier            |Boar Spear        | Scorpion          |
Rapier            |Fauchard          | Scorpion          |
Rapier            |Voulge            | Corcesca          |
Rapier            |Pole Axe          | Trident           |
Rapier            |Bardysh           | Awl Pike          |
Rapier            |Brandestoc        | Boar Spear        |
Short Sword       |Spear             | Spatha            |
Short Sword       |Glaive            | Scimitar          |
Short Sword       |Scorpion          | Broad Sword       |
Short Sword       |Corcesca          | Gastraph Bow      |
Short Sword       |Trident           | Throwing Knife    |
Short Sword       |Awl Pike          | Corcesca          |
Short Sword       |Boar Spear        | Corcesca          |
Short Sword       |Fauchard          | Corcesca          |
Short Sword       |Voulge            | Corcesca          |
